,freqs,ampl_over_asd,phi_inj,phi_ppe_map,phi_npe_map,phi_ppe_post_gr,phi_ppe_post_mod,phi_ppe_post,phi_npe_post_gr,phi_npe_post_mod,phi_npe_post
582,64.25186574998695,3.295969827063376e+21,-19.586412865742947,-5.2217344449227125,-16.033268729989718,-13.508237813563388,-5.211647892535929,-18.71988570609932,-12.36825436257612,-7.244190004569901,-19.612444367146022
583,64.45756022958216,3.2910840553981556e+21,-19.477524799091093,-5.182935872285675,-15.93080627283175,-13.443357607739165,-5.1729242650803355,-18.6162818728195,-12.318468641606458,-7.192495230476215,-19.510963872082673
584,64.66391321486337,3.2861658347877895e+21,-19.36927751692595,-5.1444255811104,-15.828999835881039,-13.378827715505968,-5.134488362228226,-18.513316077734196,-12.2689398002829,-7.141170373627052,-19.410110173909953
585,64.87092681395596,3.281226887652124e+21,-19.261667067863186,-5.106201429405672,-15.72784845581863,-13.31464635307433,-5.0963380461259575,-18.410984399200288,-12.219666541888378,-7.0902123384806135,-19.30987888036899
586,65.07860314173416,3.276266203203165e+21,-19.154689525844734,-5.068261291095734,-15.627347316049757,-13.250811746119714,-5.058471194804597,-18.309282940924312,-12.170647576546381,-7.0396164817242095,-19.21026405827059
587,65.28694431984268,3.2712750980204247e+21,-19.048340989971123,-5.03060305590201,-15.527482930109073,-13.18732212973318,-5.0208857020618884,-18.208207831795068,-12.121881621184874,-6.989381255586941,-19.111262876771814
588,65.49595247671839,3.266267222735121e+21,-18.942617584335036,-4.9932246292257405,-15.428266857824019,-13.124175748371039,-4.983579477345096,-18.107755225716133,-12.073367399500379,-6.939505112297911,-19.01287251179829
589,65.70562974761216,3.261230881665608e+21,-18.837515457855915,-4.956123932031453,-15.329687539367152,-13.06137085580564,-4.946550445634718,-18.00792130144036,-12.025103641921884,-6.889984956315324,-18.915088598237208
590,65.91597827461057,3.2561724763287606e+21,-18.733030784115833,-4.919298900731358,-15.231743048100565,-12.998905715076233,-4.909796547329087,-17.90870226240532,-11.977089085575452,-6.840816918211937,-18.81790600378739
591,66.12700020665781,3.251096165983045e+21,-18.629159761196263,-4.882747487070543,-15.134425677472633,-12.936778598439727,-4.873315738129795,-17.81009433656952,-11.929322474248549,-6.792004093529544,-18.721326567778092
